Guys northem chile really needs a support message #PrayForChile	N G ^ R V D N N #	Guys northem chile really needs a support message #PrayForChile
Mis oraciones para el pueblo chileno " @YourAnonNews : Update : 2 deaths reported following earthquake off the coast of Chile . #chilequake "	^ ^ ^ ^ ^ ^ , @ ~ N , $ N V V N P D N P ^ , # ,	Mis oraciones para el pueblo chileno "@YourAnonNews: Update: 2 deaths reported following earthquake off the coast of Chile. #chilequake"
RT @SABreakingNews : Tsunami Alert after Chile Struck by 8.2 Earthquake : An earthquake measuring 8.2 on the Richter scale struck th ... http : …	~ @ ~ N N P ^ V P $ N , D N V $ P D ^ N V G ~ U ~ ,	RT @SABreakingNews: Tsunami Alert after Chile Struck by 8.2 Earthquake: An earthquake measuring 8.2 on the Richter scale struck th... http:…
RT @PFourDigital : A powerful earthquake hit Chile last night . Magnitude 8.2 that produced tsunamis that are already hitting the coast . #Fue …	~ @ ~ D A N V ^ A N , N $ P V N P V R V D N , # ,	RT @PFourDigital: A powerful earthquake hit Chile last night. Magnitude 8.2 that produced tsunamis that are already hitting the coast. #Fue…
A 7.4 magnitude earthquake at Chile again . #TsunamiAlertOn BE CAREFUL GUYS ! My thoughts are with you !	D $ N N P ^ R , # V A N , D N V P O ,	A 7.4 magnitude earthquake at Chile again. #TsunamiAlertOn BE CAREFUL GUYS! My thoughts are with you!
RT @ali6hazali : uh oh , it's earthquake in Chile #PrayForChile	~ @ ~ ! ! , L N P ^ #	RT @ali6hazali: uh oh, it's earthquake in Chile #PrayForChile
RT @explanoit : " God is testing you by killing your family with a random geologic event , keep the faith . " - a lot of the #PrayForChile tweets	~ @ ~ , ^ V V O P V D N P D A N N , V D N , , , D N P D ^ ^	RT @explanoit: "God is testing you by killing your family with a random geologic event, keep the faith." - a lot of the #PrayForChile tweets
RT @Herbalife : Find out how you can help those in need after the 8.2 -magnitude earthquake in Chile #HerbalfeFamilyFoundation http://t.co/Gu …	~ @ ~ V T R O V V O P V P D $ N N P ^ # U ,	RT @Herbalife: Find out how you can help those in need after the 8.2-magnitude earthquake in Chile #HerbalfeFamilyFoundation http://t.co/Gu…
With @abigailortizz #santiago #chile #test #formal #XD http://t.co/Mf2YxZUnk5	P @ # # # # # U	With @abigailortizz #santiago #chile #test #formal #XD http://t.co/Mf2YxZUnk5
let the skyfall , we will stand tall , at skyfall ...	V D ^ , O V V A , P ^ ,	let the skyfall, we will stand tall, at skyfall...
" @Daily_Record : Live : 280 prisoners still on the run after huge earthquake strikes Chile http://t.co/sMMMxEHOyd " Every cloud and all that ..	, @ ~ V , $ N R P D N P A N V ^ U , D N & D O ,	"@Daily_Record: Live: 280 prisoners still on the run after huge earthquake strikes Chile http://t.co/sMMMxEHOyd" Every cloud and all that..
RT @_amroali : wow , Leaders of #Argentina , #Chile & #Brazil in the 1970s & today . http://t.co/VMKexN1ycF v @SultanAlQassemi #women	~ @ ~ ! , N P ^ , ^ & ^ P D $ & N , U P @ #	RT @_amroali: wow, Leaders of #Argentina, #Chile &amp; #Brazil in the 1970s &amp; today. http://t.co/VMKexN1ycF v @SultanAlQassemi #women
RT @fiveblockstock : Police have recaptured 16 of 300 escaped female prisoners in #iquique	~ @ ~ ^ V V $ P $ V A N P #	RT @fiveblockstock: Police have recaptured 16 of 300 escaped female prisoners in #iquique
new icon , Header & fondo <3	A N , N & N E	new icon, Header &amp; fondo &lt;3
#Sismo : Chile Earthquake : No Tsunami Threat To California , Officials Say http://t.co/AfyYE3pFDX	# , ^ N , D N N P ^ , ^ ^ U	#Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http://t.co/AfyYE3pFDX
' The Amazing Spider-Man 2 ' Crawls Into The 2014 MTV Movie Awards via @GossipBucket http://t.co/95Lmx1iJM3	, D A ^ $ , V P D $ ^ N N P @ U	'The Amazing Spider-Man 2' Crawls Into The 2014 MTV Movie Awards via @GossipBucket http://t.co/95Lmx1iJM3
@estherminded here's your flower #chile http://t.co/p7Lm19ERAB	@ L D N # U	@estherminded here's your flower #chile http://t.co/p7Lm19ERAB
@JCandTheVoidz the earthquake in Chile is probably your fault , come back	@ D N P ^ V R D N , V R	@JCandTheVoidz the earthquake in Chile is probably your fault, come back
@Lauu_Aguirre CHAU . T2 MAL LOK	@ ! , $ N ,	@Lauu_Aguirre CHAU. T2 MAL LOK
@Vallie : WATCH LIVE : U.S. Geological Survey briefing on major Chilean earthquake http://t.co/6Kj1mkBCT3 … #ChileEarthquake	@ ~ V A , ^ ^ N N P A ^ N U , #	@Vallie: WATCH LIVE: U.S. Geological Survey briefing on major Chilean earthquake http://t.co/6Kj1mkBCT3 … #ChileEarthquake
. @EternalLiving5 = Thanks for retweeting prayer alert for Chile . Minimal damage from tsunami , though 5 reported killed .	, @ , N P V N N P ^ , A N P N , P $ V V ,	.@EternalLiving5 =Thanks for retweeting prayer alert for Chile. Minimal damage from tsunami, though 5 reported killed.
Cumple Mariana (@ Wasabi Sushi & Rolls - @wasabi_lima w/ @grazzia09 ) http://t.co/Djz7fclnli	^ ^ P ^ ^ & V , @ P @ , U	Cumple Mariana (@ Wasabi Sushi &amp; Rolls - @wasabi_lima w/ @grazzia09) http://t.co/Djz7fclnli
RT @YahooNews : VIDEO : Inside an apartment during major m 7.8 earthquake aftershock in Iquique , Chile http://t.co/qIRdqdy0sp	~ @ ~ N , P D N P A N $ N N P ^ , ^ U	RT @YahooNews: VIDEO: Inside an apartment during major m7.8 earthquake aftershock in Iquique, Chile http://t.co/qIRdqdy0sp
#PrayForChile #Chile #earthquake #ChileEarthquake #FuerzaNorteDeChile Expertos afirman que riesgos para la salud de misiones a Marte supe ...	# # # # # ^ ^ ^ ^ ^ ^ ^ ^ ^ D ^ G ~	#PrayForChile #Chile #earthquake #ChileEarthquake #FuerzaNorteDeChile Expertos afirman que riesgos para la salud de misiones a Marte supe...
RT @RoomeeTimes : Chile #Earthquake : Tsunami to make landfall along Pacific coast http://t.co/irCqu0BaGc	~ @ ~ ^ ^ , N P V N P ^ N U	RT @RoomeeTimes: Chile #Earthquake: Tsunami to make landfall along Pacific coast http://t.co/irCqu0BaGc
5 deaths reported in 8.2 -magnitude earthquake that h ... http://t.co/qjrdaeljop #Pacific #Chile #Hawaii #SouthAmerica #Tsunami via @DraBrain	$ N V P $ N N P G ~ U # # # # # P @	5 deaths reported in 8.2-magnitude earthquake that h... http://t.co/qjrdaeljop #Pacific #Chile #Hawaii #SouthAmerica #Tsunami via @DraBrain
#anonymous #anonops Earthquake - South-America - Chile - EDIS Number : EQ-20140402-43216-CHL Date / time : 02/04/201 ... http://t.co/nZsM3xDmKA	# # N , ^ , ^ , ^ N , N N , N , $ , U	#anonymous #anonops Earthquake - South-America - Chile - EDIS Number: EQ-20140402-43216-CHL Date / time: 02/04/201... http://t.co/nZsM3xDmKA
Baby when they look up at the sky /88	N R O V T P D N $	Baby when they look up at the sky /88
RT @jessleal7 : #FuerzaChile #PrayForChile You are in our prayers and thoughts ! http://t.co/5pLd8lTkvx	~ @ ~ # # O V P D N & N , U	RT @jessleal7: #FuerzaChile #PrayForChile You are in our prayers and thoughts! http://t.co/5pLd8lTkvx
RT @Osnapiitzdani : AN earthquake on chile ! Poor people #prayforchile 💕👏 http://t.co/awAPilPb7f	~ @ ~ D N P ^ , A N # G U	RT @Osnapiitzdani: AN earthquake on chile ! Poor people #prayforchile 💕👏 http://t.co/awAPilPb7f
Chile earthquake : 1909 Print Valparaiso Chile Earthquake 1906 Ruins Destruction Damage Disaster - Original Halftone P http://t.co/CtZqi3jUSV	^ N , $ N ^ ^ ^ $ N N N N , A ^ ^ U	Chile earthquake: 1909 Print Valparaiso Chile Earthquake 1906 Ruins Destruction Damage Disaster - Original Halftone P http://t.co/CtZqi3jUSV
Was out cycling 3.60 km with #Endomondo . See it here : http://t.co/Nhv9pQswI8	V T N $ N P ^ , V O R , U	Was out cycling 3.60 km with #Endomondo. See it here: http://t.co/Nhv9pQswI8
While #PrayForChile is a good idea , any one went to go down there and actually help	P ^ V D A N , D $ V P V R R & R V	While #PrayForChile is a good idea , any one went to go down there and actually help
@sucelletapia WHOA Suky !! I just heard of the 8.2 Earthquake at Alabama Chile 300miles South of You ! Are You & Your Dear Family OK ?!! ✌️😃💙🌞🎵	@ ! ^ , O R V P D $ N P ^ ^ ^ ^ P O , V O & D N N ! , G	@sucelletapia WHOA Suky!! I just heard of the 8.2 Earthquake at Alabama Chile 300miles South of You! Are You &amp; Your Dear Family OK?!!✌️😃💙🌞🎵
RT @DJAktual : please pray for my people in Chile , 8.0 earthquake .	~ @ ~ V V P D N P ^ , $ N ,	RT @DJAktual: please pray for my people in Chile, 8.0 earthquake.
On a day like this 32 years ago , Argentina illegally invaded the Falklands . Up to this day they don't show repent nor do they admit defeat .	P D N P D $ N R , ^ R V D ^ , R P D N O V V V & V O V N ,	On a day like this 32 years ago, Argentina illegally invaded the Falklands. Up to this day they don't show repent nor do they admit defeat.
5 deaths reported in 8.2 -magnitude earthquake that hit off Chile . All tsunami warnings and watches was canceled http://t.co/WMtN0NwPg4	$ N V P $ N N P V P ^ , D N N & V V V U	5 deaths reported in 8.2-magnitude earthquake that hit off Chile. All tsunami warnings and watches was canceled http://t.co/WMtN0NwPg4
RT @ConfessionsMDHS : We send our prayers to the people of #Chile . We are aware a former monarch has been doing social work in the region f …	~ @ ~ O V D N P D N P ^ , O V A D A N V V V A N P D N N ,	RT @ConfessionsMDHS: We send our prayers to the people of #Chile . We are aware a former monarch has been doing social work in the region f…
RT @Dreeeaaxo : Maan chile always has it bad ... Poor people . Must be terrified knowing there might me a tsunami . #FuerzaChile	~ @ ~ N ^ R V O A , A N , V V V V R V O D N , #	RT @Dreeeaaxo: Maan chile always has it bad ... Poor people. Must be terrified knowing there might me a tsunami. #FuerzaChile
RT @spencerIofranco : My heart and prayer goes out to people livin Chile . Just hang in there . #PrayForChile	~ @ ~ D N & N V T P N V ^ , R V P R , #	RT @spencerIofranco: My heart and prayer goes out to people livin Chile. Just hang in there. #PrayForChile
@BenjaminLasnier #HappyBirthdayBenjaminLasnier I Love You Too	@ # O V O R	@BenjaminLasnier #HappyBirthdayBenjaminLasnier I Love You Too
RT @NBCNews : DEVELOPING NOW : Tsunami warning in effect for Chile , Peru , Ecuador ; watch in effect for Colombia , Panama , Costa Rica following …	~ @ ~ V R , N N P N P ^ , ^ , ^ , V P N P ^ , ^ , ^ ^ N ,	RT @NBCNews: DEVELOPING NOW: Tsunami warning in effect for Chile, Peru, Ecuador; watch in effect for Colombia, Panama, Costa Rica following…
8.2 #earthquake #chile #ChileEarthquake sparks #tsunami warning . More on this here http://t.co/XcxZXVyiJT	$ # # # ^ N N , A P O R U	8.2 #earthquake #chile #ChileEarthquake sparks #tsunami warning. More on this here http://t.co/XcxZXVyiJT
RT @snolen : For breaking news fr #Chile recommend 24horas.cl ( might be crashing ? ) & http://t.co/xni76EB3IY & Twitter : many good Chilean jou …	~ @ ~ P V N P ^ V U , V V V , , & U & ^ , A A ^ ^ ,	RT @snolen: For breaking news fr #Chile recommend 24horas.cl (might be crashing?) &amp; http://t.co/xni76EB3IY &amp; Twitter: many good Chilean jou…
#Pakistan Animation of tsunami from northern Chile earthquake , Hawaii under advisory - Washington Post ( blog ): ... http://t.co/sUDtYq2kJl	# N P N P A ^ N , ^ P N , ^ N , N , ~ U	#Pakistan Animation of tsunami from northern Chile earthquake, Hawaii under advisory - Washington Post (blog):... http://t.co/sUDtYq2kJl
RT @cnnbrk : Rescue drill now just 100 meters away from trapped #miners in #Chile , source says . http://on.cnn.com/cTctwA	~ @ ~ N N R R $ N R P V N P ^ , N V , U	RT @cnnbrk: Rescue drill now just 100 meters away from trapped #miners in #Chile, source says. http://on.cnn.com/cTctwA
The @Adidas #Originals France 74 #jacket by @EnLawded http://t.co/j2gvMDum3u	D @ ^ ^ $ N P @ U	The @Adidas #Originals France 74 #jacket by @EnLawded http://t.co/j2gvMDum3u
Meet @maryse0uellet at WRESTLECON April 5th Saturday ONLY 10am-2pm for more info visit Meet <33<33 http://t.co/smPwiifKvS	V @ P ^ ^ A ^ R $ P A N V V E U	Meet @maryse0uellet at WRESTLECON April 5th Saturday ONLY 10am-2pm for more info visit Meet &lt;33&lt;33 http://t.co/smPwiifKvS
RT @tsunamiwatch : News : Panama Earthquake 2014 : Tsunami Warning Risk Higher After Chile Aftershock ? : An earthquake hit Panama ea ... http://…	~ @ ~ N , ^ ^ $ , N N N A P ^ N , , D N V ^ G ~ U	RT @tsunamiwatch: News: Panama Earthquake 2014: Tsunami Warning Risk Higher After Chile Aftershock?: An earthquake hit Panama ea... http://…
@YoLawDa A list of jackets & tshirts about #Équateur on EnLawded http://t.co/HBMzk4XxwR	@ D N P N & N P ^ P ^ U	@YoLawDa A list of jackets &amp; tshirts about #Équateur on EnLawded http://t.co/HBMzk4XxwR
RT @PressTV : Residents who have fled their homes sleep on an open street in Iquique , #Chile , after a powerful #earthquake measu http://t.co …	~ @ ~ N O V V D N N P D A N P ^ , ^ , P D A N G U ,	RT @PressTV: Residents who have fled their homes sleep on an open street in Iquique, #Chile, after a powerful #earthquake measu http://t.co…
Scary yet beautiful : simulation of the propagation of April 1st Chile's tsunami by @NOAA http://t.co/R8YjC0aPFg	A R A , N P D N P ^ A Z N P @ U	Scary yet beautiful: simulation of the propagation of April 1st Chile's tsunami by @NOAA http://t.co/R8YjC0aPFg
RT @SteveUdelson : All tsunami warnings have been discontinued EXCEPT for Chile , Peru . #tsunami http://t.co/3NceXk2tJD	~ @ ~ D N N V V V R P ^ , ^ , # U	RT @SteveUdelson: All tsunami warnings have been discontinued EXCEPT for Chile, Peru.  #tsunami http://t.co/3NceXk2tJD
RT @darwinology : no you didn't . : c #meteorgarden #PrayForChile http://t.co/RQfwCyh4NS	~ @ ~ ! O V , , G # # U	RT @darwinology: no you didn't. :c #meteorgarden #PrayForChile http://t.co/RQfwCyh4NS
RT @scejas : #Tsunami travel time map ( if a tsunami was generated ) . via @NWS_NTWC #Chile #Peru #earthquake http://t.co/W9uuAWFMO3	~ @ ~ # V N N , P D N V V , , P @ # # # U	RT @scejas: #Tsunami travel time map (if a tsunami was generated). via @NWS_NTWC #Chile #Peru #earthquake http://t.co/W9uuAWFMO3
RT @GlobalGiving : So thankful that there was not greater damage in #Chile tonight . Hope power gets restored and people can get home soon . S …	~ @ ~ R A P X V R A N P N N , V N V V & N V V N R , G G	RT @GlobalGiving: So thankful that there was not greater damage in #Chile tonight. Hope power gets restored and people can get home soon. S…
RT @PzFeed : BREAKING : Strong aftershock hits off the coast of northern Chile ; no magnitude yet ; local authorities say no tsunami warning is …	~ @ ~ N , A N V T D N P A ^ , D N R , A N V D N N V ,	RT @PzFeed: BREAKING: Strong aftershock hits off the coast of northern Chile; no magnitude yet; local authorities say no tsunami warning is…
@floyd we miss you so much , @MileyCyrus your beautiful smilers are with you ♥	@ O V O R R , @ D A N V P O E	@floyd we miss you so much,  @MileyCyrus your beautiful smilers are with you ♥
I needa boost my followers #follobackforfolloback #follobackinstantly #girls #boys #PrayForChile #ThisCouldBeUsButYouPlayin #yeet	O V V D N # # # # # # #	I needa boost my followers #follobackforfolloback #follobackinstantly #girls #boys #PrayForChile #ThisCouldBeUsButYouPlayin #yeet
RT @nzherald : Waves measuring almost 2m have hit the northern coast of Chile after a magnitude 8.2 earthquake http://t.co/zkXRPGOMD4	~ @ ~ V V R R V V D A N P ^ P D N $ N U	RT @nzherald: Waves measuring almost 2m have hit the northern coast of Chile after a magnitude 8.2 earthquake http://t.co/zkXRPGOMD4
@MikeDronkers Look at this . RT @tsunamiwatch : Animation Shows Chile Tsunami Rippling Through Pacific Ocean : http://t.co/vj2fKLWOM4	@ V P O , ~ @ ~ N V ^ N V P ^ ^ , U	@MikeDronkers Look at this. RT @tsunamiwatch: Animation Shows Chile Tsunami Rippling Through Pacific Ocean: http://t.co/vj2fKLWOM4
RT @KarinaAndreaB : Pray for Chile . Oren por Chile #TerremotoenChile #EarthquakeChile	~ @ ~ V P ^ , ^ G ^ # #	RT @KarinaAndreaB: Pray for Chile. Oren por Chile #TerremotoenChile #EarthquakeChile
RT @ginenaperlas : Let's trust him . God has reasons . We just have to believe him . #PrayForChile 🙍🙇	~ @ ~ L V O , ^ V N , O R V P V O , # #	RT @ginenaperlas: Let's trust him. God has reasons. We just have to believe him. #PrayForChile 🙍🙇
No California tsunami expected from 7.8 Chile quake aftershock - Los Angeles Times http://t.co/bi1MFqAIK8 #news	D ^ N V P $ ^ N N , ^ ^ ^ U #	No California tsunami expected from 7.8 Chile quake aftershock - Los Angeles Times http://t.co/bi1MFqAIK8 #news
RT @sosfirstaidbc : All this #earthquake activity #chile #California reminder for #Vancouver make investment in grab n go kits #BePrepared	~ @ ~ D D ^ N # # N P ^ V N P N & V N #	RT @sosfirstaidbc: All this #earthquake activity #chile #California reminder for #Vancouver make investment in grab n go kits #BePrepared
#chile http://t.co/iZU4uGCO2K lets be naughty	# U L V A	#chile http://t.co/iZU4uGCO2K lets be naughty
VIDEO : The US Pacific Tsunami Warning Center releases animation simulating April 1 , 2014 #Chile #tsunami Link : http://t.co/0SwJzsitvG	N , D ^ ^ ^ ^ ^ N N V ^ $ , $ # # N , U	VIDEO: The US Pacific Tsunami Warning Center releases animation simulating April 1, 2014 #Chile #tsunami Link: http://t.co/0SwJzsitvG
RT @_HausOfKate_ : @ladygaga #PrayForChile please :(((	~ @ ~ @ # V E	RT @_HausOfKate_: @ladygaga #PrayForChile  please :(((
Now on NBC4 : more rain in SoCal , big rig crash in Pasadena , an update on the Chile earthquake and more . Watch live : http://t.co/61fgRel8Vg	R P ^ , A N P ^ , A N V P ^ , D N P D ^ N & A , V V , U	Now on NBC4: more rain in SoCal, big rig crash in Pasadena, an update on the Chile earthquake and more. Watch live: http://t.co/61fgRel8Vg
EVERY Sat 3pm Jerry Brown STOP DIABLO CANYON Capitol Sacramento #DOOMSDAY #PREPPER #PREPPERS http://t.co/0S25ROCHre http://t.co/Memljwr0vh	D ^ ^ ^ ^ V ^ ^ ^ ^ ^ ^ ^ U U	EVERY Sat 3pm Jerry Brown STOP DIABLO CANYON Capitol Sacramento #DOOMSDAY #PREPPER #PREPPERS  http://t.co/0S25ROCHre http://t.co/Memljwr0vh
Chile's Terrifying Earthquake Makes It Clear That We Need to Take Climate Change Seriously http://t.co/3UZZ7cJ6hW	Z A N V O V P O V P V N N R U	Chile's Terrifying Earthquake Makes It Clear That We Need to Take Climate Change Seriously http://t.co/3UZZ7cJ6hW
RT @NewsBreaker : RAW VIDEO : Amateur video from Chile shows a chaotic situation when an earthquake struck http://t.co/xEVMj1WXHc - @AP	~ @ ~ A N , N N P ^ V D A N R D N V U , @	RT @NewsBreaker: RAW VIDEO: Amateur video from Chile shows a chaotic situation when an earthquake struck http://t.co/xEVMj1WXHc - @AP
@officialwed13 Im sure u know but the guys in HIM are fine from the Chile Earthquake . It happened 15mins b4 show time but they played :)	@ L A O V & D N P O V A P D ^ N , O V R P N N & O V E	@officialwed13 Im sure u know but the guys in HIM are fine from the Chile Earthquake. It happened 15mins b4 show time but they played :)
RT @Mapsofworld : Map showing epicenters of #ChileEarthquake http://t.co/b5eJeeujQl	~ @ ~ N V N P ^ U	RT @Mapsofworld: Map showing epicenters of #ChileEarthquake http://t.co/b5eJeeujQl
Anglo American evacuate Collahuasi copper mine in Chile after yesterday's 8.2 -magnitude earthquake #MiningOnTop	^ ^ V ^ N O P ^ P S $ N N #	Anglo American evacuate Collahuasi copper mine in Chile after yesterday's 8.2-magnitude earthquake #MiningOnTop
RT @BBCWorld : " Panic written on their faces . " Residents flee northern port city as 8.2 earthquake hits Chile http://t.co/5VfZBBwSa1 #ChileE …	~ @ ~ , N V P D N , , N V A N N P $ N V ^ U # ,	RT @BBCWorld: "Panic written on their faces." Residents flee northern port city as 8.2 earthquake hits Chile http://t.co/5VfZBBwSa1 #ChileE…
RT @CTVCalgary : UPDATE : Strong aftershock , 7.8 , hits #Chile . Latest here : http://t.co/OHmAf7bods	~ @ ~ N , A N , $ , V ^ , A R , U	RT @CTVCalgary: UPDATE: Strong aftershock, 7.8, hits #Chile. Latest here: http://t.co/OHmAf7bods
RT @PaNewzer : Death roll rising in Chile earthquake , tsunami . Disaster declared . http://t.co/qK8T3ApIPg	~ @ ~ N N V P ^ N , N , N V , U	RT @PaNewzer: Death roll rising in Chile earthquake, tsunami. Disaster declared. http://t.co/qK8T3ApIPg
OMG THE NEWS SCARED ME LIKE ... OMFG IM PRETTY SCARED #PrayForChile	! D N A O P , ! L R A #	OMG THE NEWS SCARED ME LIKE... OMFG IM PRETTY SCARED #PrayForChile
RT @GN_Chaewon : Earthquake was happened there RT @CHANYLKID : #PrayForChile is no 1 on TTWW , what happened with Chile ?	~ @ ~ N V V R ~ @ ~ ^ V D $ P ^ , O V P ^ ,	RT @GN_Chaewon: Earthquake was happened there RT @CHANYLKID: #PrayForChile is no 1 on TTWW, what happened with Chile ?
RT @RoomeeTimes : Chile #Tsunami : Anti-riot police deployed to help prevent looting and recapture 300 women who escaped from prison http://t …	~ @ ~ ^ N , N N V P V V V & V $ N O V P N U G	RT @RoomeeTimes: Chile #Tsunami: Anti-riot police deployed to help prevent looting and recapture 300 women who escaped from prison http://t…
My heart and my prayers are with all affected by this disaster !! #PrayForChile	D N & D N V P D V P D N , #	My heart and my prayers are with all affected by this disaster!! #PrayForChile
Residents evacuating coastal areas of Antofagasta , Chile due to #tsunami warning . MT @RedMiVoz : http://t.co/58VmzRHbn3	N V A N P ^ , ^ A P N N , G @ ~ U	Residents evacuating coastal areas of Antofagasta, Chile due to #tsunami warning. MT @RedMiVoz: http://t.co/58VmzRHbn3
@justinbieber always u ignore ur beliebers , we love u so good luck ily	@ R O V D N , O V O R A N !	@justinbieber always u ignore ur beliebers,we love u so good luck ily
